#sigma,tau
1.5120364504138513,197.3986367313849
1.3864903840141407,209.74255101027694
1.3770655205221558,209.41347793505741
1.514863602014204,197.66079469059775
1.463182417783561,202.46823576913113
1.3781666553445826,209.7244414063852
1.5350735447408541,195.69652135242856
1.4104413709080756,207.37042660411953
1.4952558307100112,201.19948361875913
1.5233160204135183,197.19757800223942
1.4332842724957,203.0046486997132
1.5139442248187318,196.9550282678475
1.417282868512909,208.2811738149853
1.5278944518410595,197.16632344104272
1.4151259440832114,207.09567489005727
1.4828783365757612,199.63386753876713
1.4271668076510924,206.27403759735404
1.4463598253832384,204.4421721630993
1.4843482123295768,200.17338410575599
1.4740560439860153,201.8100610083863
1.5019609172107242,199.15069326005218
1.706655724702727,182.79318894600462
1.40544428549406,207.440574908019
1.4022006143274774,211.77235191940446
1.4901494657628267,200.44102736280362
1.473530108197952,202.41591488587014
1.521058870564962,195.7602402509764
1.5161319757464136,197.60012773280607
1.4844358301262925,203.32605339491315
1.4634420025199784,202.60001548458018
1.5598195302269031,194.3830733911651
1.4411742151823386,204.17551376214345
1.4483912408975674,204.66377373434742
1.5648202820648296,192.43817755680337
1.4456978784390926,202.65617440065716
1.604001917931587,193.48843558821747
1.478439651939791,200.68575607937825
1.394008376526685,206.22254690629006
1.4718823637882683,200.61762940872947
1.4505402207701392,203.41265421438953
1.6247011407921037,190.06303837373642
1.5039327301252978,198.45659159861827
1.363033523181748,213.13544756888754
1.3440765186681642,214.6623954245982
1.5064049476163217,198.51444963164215
1.5353793307012635,196.88157996409876
1.5085273174777087,198.92097037623233
1.4314126981432629,202.79640214973537
1.4803943100747665,201.16090097692768
1.3586169992057884,213.58938247653728
1.44616918639985,202.97576649379536
1.4177220679827414,206.44418659074364
1.52133254010178,196.40554970218767
1.4877409568269881,199.820270766382
1.4628541717079664,202.11060263084082
1.4213210061066461,205.79292313507287
1.515810410224754,198.6476516662641
1.3548266896092052,211.59268552755705
1.5843230818671898,191.81506150324822
1.4846336771409885,195.6397152733468
1.5142587219488157,197.7602205513376
1.5020760719044963,198.28767650756157
1.418700834617177,206.48520050171626
1.5745339420734905,186.45136249887972
1.4369471535989946,204.70407256283877
1.5184689307722252,197.6970416125447
1.4675150739571945,201.29697501093756
1.4712388755663384,201.58525636477364
1.5968465894391208,191.92017658078495
1.4598646902760957,203.5899093585603
1.577953830436952,195.96681451084908
1.5098765762395283,198.98402807864645
1.491276679676182,199.760848998035
1.488813441002801,200.1981985615628
1.3756442649940566,210.6910685459129
1.4466903850927566,204.7638670560434
1.55762049190323,193.4323075463109
1.503316751253425,199.62124952189583
1.469008510933502,202.68425391907755
1.4222503646751588,206.8184969965509
1.470601714643493,201.75286122733525
1.4381256812254108,205.50805050473343
1.4684302650893033,201.56079196492882
1.5562238379255349,194.50969853596268
1.4516645221651552,203.8155639644172
1.444841308835519,205.43397189877408
1.4033649682755416,208.3811792756602
1.3958221947000211,211.22760992286192
1.4601083370401537,201.46755314422077
1.3788242948254534,210.26213936532167
1.5710520631647544,192.13139904656475
1.6492438142143107,193.48971193821123
1.472571638605984,206.52874786055693
1.463614038196513,201.34721720000474
1.5196685955765599,200.27026992361422
1.49537911126586,199.9166333054686
1.531147431240658,195.50651903094345
1.535332369520288,197.1988276016458
1.426832638742346,204.34352640052703
1.529967446680003,195.8317771664527
1.5120364504138513,197.3986367313849
1.3864903840141407,209.74255101027694
1.4451376954698898,203.60946360410625
1.517535375075658,196.83795658824423
1.485519473449937,200.11805011555967
1.3781666553445826,209.7244414063852
1.477416124453294,197.64162915613153
1.4099330149123124,207.44472967874484
1.4943725996588315,201.12125540085907
1.5156707520759816,197.8655668035707
1.4290455273622806,203.53615463887047
1.4903433502011452,199.25616400005669
1.425035750130516,207.46395562624008
1.5044653903593683,200.51437579796544
1.4117468681184513,207.81215084820445
1.4762480221484255,200.18078067374535
1.4066396647624013,210.32008913581146
1.443318462039176,204.5652898442491
1.4194724088195994,204.6412160943903
1.4172909351123057,206.32316678286816
1.5004332856153688,199.3279061508989
1.6697544694466926,185.5280604041772
1.4187006924339436,205.9955741636551
1.4523725869607944,206.66695021878965
1.4559592396145677,203.59022407724058
1.4533086261447759,204.77752812867087
1.5321989049638642,194.80402445579628
1.5173972848865518,197.49217646366014
1.4843765487041616,203.3254710997104
1.4634420025199784,202.60001548458018
1.5598195302269031,194.3830733911651
1.4533916054527052,202.95734674762272
1.4078285498210947,208.9091095678357
1.5648202820648296,192.43817755680337
1.4321791485627733,205.41713621826236
1.608209001442693,193.2064595687776
1.4595875025671434,201.9853067653777
1.3965374507466337,206.1105109930506
1.4703799281913486,198.9901234950761
1.4607655897521896,202.46674014286916
1.5612486591292987,194.64651756837316
1.5039327301252978,198.45659159861827
1.363033523181748,213.13544756888754
1.3553307800953756,213.33075509729898
1.5064049476163217,198.51444963164215
1.5777153427097808,194.2318670000988
1.53156890231681,197.32336542053008
1.4277517465478788,203.29862120355588
1.576670926771634,192.4806626863023
1.3586169992057884,213.58938247653728
1.435499427990672,204.17472172903348
1.4177220679827414,206.44418659074364
1.5213644513045108,196.40192437212
1.4898364887827524,199.5189232219877
1.4767108237784543,200.55753674821085
1.356961878998685,211.52657124617744
1.5185064265584287,199.54283376131545
1.3366397747909524,213.20715880750487
1.5679371584280497,193.081594377189
