# lags,weights,weighted_lags
1.044824034609726482e+02,6.103150376304176117e-01,6.376718199999999825e+01
1.046927438829719961e+02,6.046696518983519786e-01,6.330452499999999816e+01
1.074412369342895062e+02,6.072911189574762281e-01,6.524810899999999947e+01
1.006348377824856755e+02,6.316221042397549557e-01,6.356318799999999669e+01
1.038047947282911423e+02,6.135797692844059403e-01,6.369252200000000386e+01
1.030669565239921184e+02,6.073773604193670739e-01,6.260053599999999818e+01
1.045567929205383280e+02,6.052134943359565034e-01,6.327918199999999160e+01
1.072293944723310091e+02,6.066489447236911303e-01,6.505059900000000539e+01
1.022560144768093409e+02,6.073245208875636125e-01,6.210258499999999771e+01
9.797288345509558383e+01,6.437041840143978844e-01,6.306555500000000336e+01
1.012532263275708857e+02,6.201579967126606974e-01,6.279299799999999721e+01
1.058869233726141914e+02,6.317591811086773479e-01,6.689503600000000461e+01
1.008992838790975810e+02,6.316221042397549557e-01,6.373021800000000070e+01
1.022560144768093409e+02,6.073245208875636125e-01,6.210258499999999771e+01
1.051978795178122823e+02,6.055258650837558321e-01,6.370003700000000180e+01
9.833228726939621822e+01,6.155586804786796762e-01,6.052929300000000978e+01
9.890100821318760893e+01,6.153875789497209592e-01,6.086245199999999755e+01
1.070254856812800455e+02,6.099434689266549636e-01,6.527949599999999464e+01
1.038047947282911423e+02,6.135797692844059403e-01,6.369252200000000386e+01
1.027858534591032509e+02,6.065403642808251394e-01,6.234376900000000177e+01
1.017779507804880552e+02,6.178540589368550773e-01,6.288392000000000337e+01
1.005904991250480407e+02,6.014607495364796552e-01,6.050123700000000326e+01
1.014697216339204573e+02,6.201778420860798446e-01,6.292927300000000201e+01
1.049197739686345869e+02,6.038188761151832562e-01,6.335253999999999053e+01
1.074263667864305489e+02,6.074800158674189543e-01,6.525937100000000157e+01
1.037201886595537417e+02,6.151248645470261955e-01,6.380086699999999666e+01
9.801755001551823909e+01,6.272682493111274571e-01,6.148329700000000031e+01
1.005904991250480407e+02,6.014607495364796552e-01,6.050123700000000326e+01
1.072475363022251713e+02,6.132313549344950987e-01,6.576755199999999491e+01
1.011073372995561357e+02,6.258434619094433993e-01,6.327736600000000067e+01
9.805631093145278498e+01,6.431469774962871311e-01,6.306461999999999790e+01
1.016122055010588952e+02,6.117252715211682901e-01,6.215875400000000184e+01
1.079536435846955840e+02,6.132822552492884771e-01,6.620605399999999463e+01
1.012590200250275814e+02,6.210808576308149975e-01,6.289003900000000158e+01
1.088508335066822355e+02,5.824487967389605503e-01,6.340003699999999043e+01
1.038047947282911423e+02,6.135797692844059403e-01,6.369252200000000386e+01
1.088508335066822355e+02,5.824487967389605503e-01,6.340003699999999043e+01
1.082196530000435644e+02,6.076695792027122511e-01,6.576179100000000233e+01
9.974535979757868631e+01,6.073099452739704196e-01,6.057634899999999334e+01
9.971231974999597014e+01,6.342633704497939728e-01,6.324387200000000320e+01
1.069520913752279085e+02,6.103620336976405270e-01,6.527949599999999464e+01
1.063200728300318048e+02,6.247154580695384318e-01,6.641979299999999853e+01
9.651804319081848860e+01,6.408864390019491930e-01,6.185710499999999712e+01
1.042270248315511765e+02,6.235869929612065654e-01,6.499461700000000519e+01
1.101649633146818701e+02,6.009719606667049963e-01,6.620605399999999463e+01
1.003494286737190890e+02,6.312905896652193372e-01,6.334964999999999691e+01
9.489976806775379714e+01,6.248897779988391576e-01,5.930189500000000180e+01
1.005788313038962372e+02,6.015305230302103734e-01,6.050123699999999616e+01
1.027858534591032509e+02,6.065403642808251394e-01,6.234376900000000177e+01
1.079536435846955840e+02,6.132822552492884771e-01,6.620605399999999463e+01
9.769989578642478989e+01,6.097342941923308279e-01,5.957097699999999918e+01
9.543442705906770129e+01,6.136141307135969392e-01,5.855991300000000166e+01
9.779453392858982852e+01,6.288314645980618289e-01,6.149627999999999162e+01
1.079536435846955840e+02,6.132822552492884771e-01,6.620605399999999463e+01
1.038047947282911423e+02,6.135797692844059403e-01,6.369252200000000386e+01
1.004793696866057786e+02,6.024051821661531303e-01,6.052929300000000268e+01
1.072381418054277873e+02,6.132313549344950987e-01,6.576179100000000233e+01
9.287204334938043360e+01,6.469462911887232659e-01,6.008322400000000840e+01
1.079536435846955840e+02,6.132822552492884771e-01,6.620605399999999463e+01
9.809259847927978626e+01,6.429090571325950521e-01,6.306461999999999790e+01
1.003097179747507255e+02,6.028517298316158346e-01,6.047188700000000239e+01
9.716780215925577124e+01,6.255231120735018635e-01,6.078070600000000212e+01
9.779862735163361265e+01,6.448058598334369673e-01,6.306112799999999652e+01
1.017779507804880552e+02,6.178540589368550773e-01,6.288392000000000337e+01
9.956815618441336824e+01,6.248610337301744311e-01,6.221626100000000292e+01
1.036892985662398985e+02,6.107686702070103113e-01,6.333017500000000410e+01
1.070254856812800455e+02,6.099434689266549636e-01,6.527949599999999464e+01
1.051709513817026647e+02,6.350471696086574802e-01,6.678851500000000385e+01
9.836169301923028740e+01,6.153746559462550669e-01,6.052929300000000268e+01
1.075369406174709326e+02,6.174988949723916321e-01,6.640394200000000069e+01
9.966111024908023808e+01,6.236119369398012147e-01,6.214985800000000182e+01
1.030900471493713724e+02,6.135227090192060251e-01,6.324808500000000322e+01
1.038738751189373346e+02,6.177966011812009439e-01,6.417292700000000139e+01
1.069222827516307461e+02,6.224699032530233156e-01,6.655590300000000070e+01
9.965989022114189311e+01,6.073761456658610669e-01,6.053103999999999729e+01
1.035296006085867901e+02,6.057111843508733440e-01,6.270903700000000214e+01
1.071087912388771031e+02,6.064797132769979005e-01,6.495930900000000463e+01
9.403088452536609054e+01,6.255387503467813026e-01,5.881996200000000385e+01
9.842111108381881479e+01,6.437041840143978844e-01,6.335408100000000076e+01
9.858461495371086869e+01,6.242589579408146516e-01,6.154232900000000228e+01
1.072992899207098247e+02,6.066489447236911303e-01,6.509300100000000100e+01
1.045698272668386721e+02,6.198746492579878531e-01,6.482018499999999506e+01
1.015004334799264569e+02,6.103620336976405270e-01,6.195201099999999883e+01
1.049197739686345869e+02,6.038188761151832562e-01,6.335253999999999053e+01
1.005904991250480407e+02,6.014607495364796552e-01,6.050123700000000326e+01
1.079536435846955840e+02,6.132822552492884771e-01,6.620605399999999463e+01
9.766140960975961605e+01,6.099745768368152188e-01,5.957097700000000629e+01
1.046147653465481397e+02,6.066489447236911303e-01,6.346443699999999666e+01
1.015995047691835396e+02,6.118017419594112827e-01,6.215875400000000184e+01
1.022719907327014113e+02,6.192321724285183571e-01,6.333010699999999815e+01
9.403088452536609054e+01,6.255387503467813026e-01,5.881996200000000385e+01
1.002967574674260476e+02,6.316221042397549557e-01,6.334964899999999943e+01
9.892057722314606849e+01,6.047494735605164484e-01,5.982216700000000031e+01
1.004793696866057786e+02,6.024051821661531303e-01,6.052929300000000268e+01
1.001066651207648732e+02,6.191739673399920818e-01,6.198344099999999912e+01
9.971231974999597014e+01,6.342633704497939728e-01,6.324387200000000320e+01
9.779862735163361265e+01,6.448058598334369673e-01,6.306112799999999652e+01
9.380349988823847696e+01,6.247067121143473623e-01,5.859967600000000232e+01
1.051959030369055199e+02,6.059783618914896808e-01,6.374644099999999725e+01
1.038738751189373346e+02,6.177966011812009439e-01,6.417292700000000139e+01
1.005778239396545501e+02,6.191733481663342920e-01,6.227510800000000302e+01
1.070286302723423404e+02,6.064797132769979005e-01,6.491069299999999487e+01
1.070823102685175598e+02,6.124959186585916537e-01,6.558747800000000439e+01
1.046169662476504101e+02,6.074010485983399876e-01,6.354445499999999925e+01
9.795273880490310603e+01,6.316221042397549557e-01,6.186911500000000075e+01
1.071641414650783730e+02,6.135877458732544865e-01,6.575460400000000050e+01
