# PLIKE V4.0 ZDCF peak likelihood analysis
# for file /home/stone28/projects/petl_mock/test_repo/tot_output2/H-alpha/pyzdcf/H-alpha_zdcf.dcf
#
# num      lag         r         -dr        +dr    likelihood
# ---- ---------- ---------- ---------- ---------- ----------
   199  8.004E+02 -7.013E-01  6.833E-02  7.554E-02  0.000E+00
   200  8.084E+02 -7.296E-01  6.526E-02  7.276E-02  0.000E+00
   201  8.164E+02 -7.538E-01  6.276E-02  7.059E-02  0.000E+00
   202  8.244E+02 -7.803E-01  5.943E-02  6.754E-02  0.000E+00
   203  8.324E+02 -7.927E-01  5.939E-02  6.814E-02  0.000E+00
   204  8.404E+02 -7.956E-01  6.211E-02  7.195E-02  0.000E+00
   205  8.484E+02 -7.831E-01  6.999E-02  8.180E-02  0.000E+00
   206  8.564E+02 -7.710E-01  7.930E-02  9.376E-02  0.000E+00
   207  8.644E+02 -7.407E-01  9.703E-02  1.161E-01  0.000E+00
   208  8.724E+02 -6.958E-01  1.250E-01  1.516E-01  0.000E+00
   209  8.804E+02 -7.045E-01  1.412E-01  1.786E-01  0.000E+00
   210  8.928E+02 -6.215E-01  1.830E-01  2.288E-01  0.000E+00
   211  9.285E+02 -4.440E-01  2.367E-01  2.761E-01  0.000E+00
   212  9.605E+02 -3.917E-01  1.736E-01  1.894E-01  0.000E+00
   213  9.685E+02 -4.108E-01  1.599E-01  1.742E-01  0.000E+00
   214  9.765E+02 -4.649E-01  1.420E-01  1.555E-01  0.000E+00
   215  9.845E+02 -4.827E-01  1.321E-01  1.444E-01  0.000E+00
   216  9.925E+02 -4.971E-01  1.239E-01  1.352E-01  0.000E+00
#
# ML Peak at t_lag =  +1.041E+02, Likelihood at peak =  +5.368E-02
# 1 sigma ML t_lag interval =  +1.041E+02  +6.194E+01  -6.050E+00
#                           = ( +9.805E+01 ,  +1.660E+02)
