# tau,tf,errlo,errhi
-1.725029541228979497e+03,5.427566588561784150e-04,1.411976277270947204e-04,2.601371505694954770e-04
-1.724723264435093142e+03,5.429353982388315921e-04,1.411483726603048072e-04,2.602087445369019114e-04
-1.724416987641206788e+03,5.431141519833130107e-04,1.410990585469080972e-04,2.602803414857626221e-04
-1.724110710847320433e+03,5.432929200650538906e-04,1.410496853842697082e-04,2.603519414081608731e-04
-1.723804434053434079e+03,5.434717024594737421e-04,1.410002531697861997e-04,2.604235442961778686e-04
-1.723498157259547725e+03,5.436504991419802580e-04,1.409268672743860815e-04,2.604951501418919938e-04
-1.723191880465661370e+03,5.438293100879701804e-04,1.408399721840492176e-04,2.605667589373789235e-04
-1.722885603671775016e+03,5.440081352728276748e-04,1.407529813406694892e-04,2.606383706747123809e-04
-1.722579326877888661e+03,5.441869746719264983e-04,1.406605788960089542e-04,2.607099853459634870e-04
-1.722273050084002307e+03,5.443658282606275061e-04,1.405663295531189611e-04,2.607816029432004357e-04
-1.721966773290115952e+03,5.445446960142811448e-04,1.404719774905090310e-04,2.608532234584894690e-04
-1.721660496496229598e+03,5.447729685369033558e-04,1.404269133250287522e-04,2.608754562552164811e-04
-1.721354219702343244e+03,5.450012947221218517e-04,1.403817859632071384e-04,2.608976524071412832e-04
-1.721047942908456662e+03,5.452296640880268047e-04,1.403365849361029377e-04,2.609198223635481083e-04
-1.720741666114570307e+03,5.454580766087102281e-04,1.402913102308453691e-04,2.609419661177043862e-04
-1.720435389320683953e+03,5.456865322582410416e-04,1.402459618346075078e-04,2.609640836628866539e-04
-1.720129112526797599e+03,5.459150310106646378e-04,1.402005397346069897e-04,2.609861749923818568e-04
-1.719822835732911244e+03,5.461435728400034243e-04,1.401550439181062282e-04,2.610082400994850720e-04
-1.719516558939024890e+03,5.463721577202558478e-04,1.401094743724116010e-04,2.610302789775014592e-04
-1.719210282145138535e+03,5.466007856253978035e-04,1.400638310848752394e-04,2.610522916197448523e-04
-1.718904005351252181e+03,5.468294565293812257e-04,1.400181140428925883e-04,2.610742780195390595e-04
-1.718597728557365826e+03,5.470581704061349554e-04,1.399723232339043582e-04,2.610962381702171048e-04
-1.718291451763479472e+03,5.472869272295647399e-04,1.399264586453963623e-04,2.611181720651206857e-04
-1.717985174969593118e+03,5.475157269735524742e-04,1.398805202648981615e-04,2.611400796976015831e-04
-1.717678898175706763e+03,5.477445696119572849e-04,1.398345080799852868e-04,2.611619610610205764e-04
-1.717372621381820409e+03,5.479734551186146631e-04,1.397884220782771251e-04,2.611838161487477694e-04
-1.717066344587934054e+03,5.482023834673367896e-04,1.397422622474383831e-04,2.612056449541629152e-04
-1.716760067794047700e+03,5.484313546319126431e-04,1.396960285751785449e-04,2.612274474706548742e-04
-1.716453791000161345e+03,5.486603685861076753e-04,1.396497210492518722e-04,2.612492236916216142e-04
-1.716147514206274991e+03,5.488894253036641357e-04,1.396033396574577297e-04,2.612709736104712943e-04
